order_id,user_id,product_id,order_date,channel,quantity,unit_price,discount_rate,refund_flag,amount
O00001,U0341,P026,2026-04-27,offline_store,1,38.77,0.0,0,38.77
O00002,U0140,P009,2026-03-25,taobao,1,172.94,0.15,0,172.94
O00003,U0182,P015,2026-03-23,offline_store,4,161.93,0.0,0,647.72
O00004,U0590,P035,2026-03-22,douyin,2,76.54,0.15,0,153.08
O00005,U0578,P007,2026-03-24,douyin,1,173.38,0.05,0,173.38
O00006,U0473,P021,2026-05-31,douyin,1,155.9,0.1,1,155.9
O00007,U0419,P035,2026-04-22,offline_store,3,90.05,0.0,0,270.15
O00008,U0434,P033,2026-02-04,offline_store,1,303.53,0.0,0,303.53
O00009,U0548,P039,2026-01-18,offline_store,5,272.9,0.05,0,1364.5
O00010,U0550,P009,2026-05-19,wechat_shop,3,203.46,0.0,0,610.38
O00011,U0046,P003,2026-01-27,offline_store,2,148.5,0.0,0,297.0
O00012,U0523,P015,2026-03-25,douyin,1,161.93,0.0,0,161.93
O00013,U0513,P014,2026-04-24,douyin,1,135.13,0.15,0,135.13
O00014,U0088,P036,2026-03-29,wechat_shop,1,267.33,0.0,0,267.33
O00015,U0534,P026,2026-02-05,offline_store,1,36.83,0.05,0,36.83
O00016,U0327,P001,2026-03-30,wechat_shop,1,23.26,0.15,0,23.26
O00017,U0352,P010,2026-03-17,wechat_shop,3,219.93,0.0,1,659.79
O00018,U0179,P031,2026-06-22,douyin,4,61.79,0.15,0,247.16
O00019,U0415,P035,2026-03-25,douyin,1,85.55,0.05,0,85.55
O00020,U0203,P037,2026-02-16,offline_store,2,263.43,0.05,1,526.86
O00021,U0286,P011,2026-05-31,wechat_shop,1,193.59,0.15,0,193.59
O00022,U0334,P021,2026-05-27,douyin,3,155.9,0.1,0,467.7
O00023,U0321,P032,2026-04-27,offline_store,1,76.87,0.05,0,76.87
O00024,U0469,P020,2026-06-05,douyin,2,127.78,0.0,0,255.56
O00025,U0138,P017,2026-06-21,taobao,3,182.63,0.1,0,547.89
O00026,U0145,P004,2026-01-30,offline_store,1,115.92,0.0,0,115.92
O00027,U0499,P026,2026-04-17,douyin,1,36.83,0.05,0,36.83
O00028,U0462,P036,2026-05-22,wechat_shop,1,267.33,0.0,0,267.33
O00029,U0576,P007,2026-04-01,offline_store,1,182.5,0.0,0,182.5
O00030,U0501,P020,2026-04-14,douyin,1,108.61,0.15,0,108.61
O00031,U0282,P012,2026-01-21,douyin,1,109.4,0.0,0,109.4
O00032,U0508,P016,2026-05-17,wechat_shop,1,85.15,0.05,0,85.15
O00033,U0376,P003,2026-05-26,wechat_shop,1,133.65,0.1,0,133.65
O00034,U0254,P001,2026-04-22,taobao,1,25.99,0.05,0,25.99
O00035,U0121,P012,2026-01-08,douyin,1,109.4,0.0,0,109.4
O00036,U0439,P015,2026-02-22,douyin,2,161.93,0.0,0,323.86
O00037,U0584,P015,2026-06-06,taobao,2,161.93,0.0,0,323.86
O00038,U0300,P028,2026-05-16,taobao,2,284.68,0.0,0,569.36
O00039,U0098,P034,2026-05-26,douyin,4,14.65,0.1,0,58.6
O00040,U0136,P003,2026-04-15,douyin,5,126.22,0.15,0,631.1
O00041,U0403,P036,2026-02-06,offline_store,1,267.33,0.0,0,267.33
O00042,U0463,P011,2026-02-05,wechat_shop,2,193.59,0.15,0,387.18
O00043,U0378,P039,2026-06-11,offline_store,1,244.17,0.15,0,244.17
O00044,U0470,P013,2026-05-04,taobao,2,152.36,0.15,0,304.72
O00045,U0507,P036,2026-01-16,taobao,1,253.96,0.05,0,253.96
O00046,U0497,P011,2026-03-23,taobao,1,204.97,0.1,0,204.97
O00047,U0471,P034,2026-06-23,wechat_shop,1,16.28,0.0,0,16.28
O00048,U0439,P003,2026-01-31,douyin,1,148.5,0.0,0,148.5
O00049,U0281,P025,2026-06-25,wechat_shop,3,86.77,0.0,0,260.31
O00050,U0170,P030,2026-06-16,wechat_shop,1,163.0,0.0,0,163.0
O00051,U0440,P026,2026-04-11,wechat_shop,1,32.95,0.15,0,32.95
O00052,U0232,P036,2026-01-24,offline_store,1,267.33,0.0,0,267.33
O00053,U0433,P024,2026-01-02,douyin,2,179.07,0.0,0,358.14
O00054,U0105,P024,2026-05-02,wechat_shop,1,179.07,0.0,0,179.07
O00055,U0137,P027,2026-03-21,douyin,3,156.42,0.0,0,469.26
O00056,U0451,P035,2026-01-17,taobao,2,81.05,0.1,0,162.1
O00057,U0454,P037,2026-02-23,douyin,2,263.43,0.05,0,526.86
O00058,U0394,P024,2026-01-22,taobao,1,179.07,0.0,0,179.07
O00059,U0087,P029,2026-04-19,douyin,3,138.03,0.0,0,414.09
O00060,U0028,P006,2026-05-21,taobao,2,198.72,0.1,0,397.44
O00061,U0303,P005,2026-02-21,wechat_shop,2,111.95,0.0,0,223.9
O00062,U0073,P020,2026-03-02,wechat_shop,1,127.78,0.0,0,127.78
O00063,U0560,P033,2026-04-02,douyin,1,273.18,0.1,0,273.18
O00064,U0221,P019,2026-04-30,wechat_shop,1,165.48,0.0,1,165.48
O00065,U0426,P040,2026-01-15,offline_store,1,205.27,0.15,0,205.27
O00066,U0157,P005,2026-06-28,taobao,1,100.76,0.1,0,100.76
O00067,U0160,P016,2026-01-21,taobao,1,89.63,0.0,0,89.63
O00068,U0068,P009,2026-04-10,taobao,2,172.94,0.15,0,345.88
O00069,U0089,P009,2026-06-27,offline_store,2,203.46,0.0,0,406.92
