review_id,order_id,rating,comment,review_date
R00001,O01744,5,will buy again,2026-06-09
R00002,O02197,4,overall good,2026-02-05
R00003,O01729,5,good value,2026-02-05
R00004,O03338,4,service is nice,2026-04-29
R00005,O00299,4,overall good,2026-04-02
R00006,O01838,4,price is acceptable,2026-04-28
R00007,O04017,3,delivery was slow,2026-04-06
R00008,O00352,5,good value,2026-05-14
R00009,O03316,3,average experience,2026-06-25
R00010,O02459,4,overall good,2026-02-04
R00011,O01030,3,average experience,2026-06-03
R00012,O02320,4,price is acceptable,2026-01-25
R00013,O01478,4,price is acceptable,2026-05-25
R00014,O03774,4,price is acceptable,2026-01-02
R00015,O02903,4,service is nice,2026-02-27
R00016,O02293,4,service is nice,2026-04-11
R00017,O03572,4,price is acceptable,2026-01-29
R00018,O00498,3,average experience,2026-05-03
R00019,O01996,3,packaging can improve,2026-01-16
R00020,O00735,3,packaging can improve,2026-01-13
R00021,O03253,4,overall good,2026-03-25
R00022,O01048,4,price is acceptable,2026-03-14
R00023,O01033,4,overall good,2026-06-10
R00024,O02654,4,service is nice,2026-03-08
R00025,O02461,4,service is nice,2026-03-16
R00026,O03726,2,bad packaging,2026-06-24
R00027,O02184,5,will buy again,2026-01-12
R00028,O01089,5,will buy again,2026-05-10
R00029,O00600,4,service is nice,2026-01-13
R00030,O02260,3,packaging can improve,2026-02-07
R00031,O00297,5,quality is stable,2026-06-02
R00032,O02592,5,fast delivery,2026-02-02
R00033,O02777,4,price is acceptable,2026-05-08
R00034,O00315,3,packaging can improve,2026-03-28
R00035,O00839,4,overall good,2026-02-22
R00036,O02064,5,quality is stable,2026-04-13
R00037,O00795,2,bad packaging,2026-06-13
R00038,O01019,5,quality is stable,2026-03-11
R00039,O02329,5,fast delivery,2026-06-04
R00040,O00752,5,will buy again,2026-04-28
R00041,O04105,4,service is nice,2026-01-12
R00042,O02541,4,price is acceptable,2026-06-06
R00043,O00812,5,good value,2026-01-10
R00044,O00097,5,good value,2026-02-02
R00045,O01452,4,price is acceptable,2026-01-21
R00046,O00176,5,good value,2026-06-11
R00047,O02340,4,overall good,2026-01-26
R00048,O02460,5,fast delivery,2026-04-27
R00049,O01158,3,delivery was slow,2026-01-27
R00050,O00762,4,service is nice,2026-06-07
R00051,O01784,4,price is acceptable,2026-06-28
R00052,O02578,5,will buy again,2026-05-17
R00053,O01042,5,quality is stable,2026-05-31
R00054,O03760,1,refund requested,2026-02-16
R00055,O01534,5,fast delivery,2026-02-14
R00056,O00145,2,quality issue,2026-04-08
R00057,O00110,5,good value,2026-05-24
R00058,O01510,3,average experience,2026-06-25
R00059,O00866,5,quality is stable,2026-04-26
R00060,O04048,5,quality is stable,2026-01-31
R00061,O03787,5,good value,2026-03-23
R00062,O01422,5,quality is stable,2026-05-23
R00063,O02495,5,good value,2026-03-24
R00064,O00595,4,service is nice,2026-06-24
R00065,O00694,3,packaging can improve,2026-03-06
R00066,O01955,5,fast delivery,2026-04-12
R00067,O01946,5,will buy again,2026-05-26
R00068,O00791,5,quality is stable,2026-02-11
R00069,O01968,1,damaged item,2026-02-22
R00070,O03101,3,average experience,2026-05-26
R00071,O03671,5,fast delivery,2026-06-11
R00072,O04126,4,price is acceptable,2026-05-25
R00073,O02579,1,refund requested,2026-03-28
R00074,O00085,2,quality issue,2026-02-21
R00075,O01062,5,will buy again,2026-04-22
R00076,O03747,5,fast delivery,2026-01-07
R00077,O00433,3,delivery was slow,2026-02-17
R00078,O02631,5,will buy again,2026-02-24
R00079,O01599,3,delivery was slow,2026-05-27
R00080,O01211,5,quality is stable,2026-04-11
R00081,O02096,1,damaged item,2026-03-27
R00082,O00180,4,price is acceptable,2026-02-26
R00083,O02728,5,will buy again,2026-03-13
R00084,O00185,5,will buy again,2026-04-06
R00085,O00221,5,fast delivery,2026-02-01
R00086,O03046,4,overall good,2026-03-25
R00087,O01814,4,price is acceptable,2026-06-28
R00088,O00681,3,delivery was slow,2026-03-09
R00089,O02440,5,quality is stable,2026-04-08
R00090,O02213,4,price is acceptable,2026-03-01
R00091,O00158,3,average experience,2026-06-14
R00092,O00189,5,quality is stable,2026-01-26
R00093,O04192,5,will buy again,2026-05-31
R00094,O00843,5,good value,2026-06-15
R00095,O02097,4,overall good,2026-02-14
R00096,O03974,4,overall good,2026-05-03
R00097,O04097,3,delivery was slow,2026-06-16
R00098,O01692,5,fast delivery,2026-06-27
R00099,O03270,5,quality is stable,2026-06-21
R00100,O04029,3,packaging can improve,2026-01-11
R00101,O00275,4,service is nice,2026-05-24
R00102,O01164,5,will buy again,2026-01-20
R00103,O03806,4,overall good,2026-06-20
R00104,O00565,4,overall good,2026-04-22
R00105,O02637,5,good value,2026-02-15
R00106,O01611,4,overall good,2026-06-28
R00107,O02334,4,service is nice,2026-01-09
R00108,O02379,4,price is acceptable,2026-05-21
R00109,O01792,5,fast delivery,2026-06-25
R00110,O00556,2,quality issue,2026-01-04
R00111,O01163,1,damaged item,2026-03-10
R00112,O03954,5,fast delivery,2026-05-24
R00113,O02506,3,delivery was slow,2026-02-28
R00114,O00167,5,will buy again,2026-03-28
R00115,O00212,4,overall good,2026-06-16
R00116,O02352,5,good value,2026-01-15
R00117,O03574,2,quality issue,2026-03-03
R00118,O02190,5,will buy again,2026-02-20
R00119,O04068,4,overall good,2026-03-16
R00120,O03824,5,will buy again,2026-02-10
R00121,O03972,3,delivery was slow,2026-05-23
R00122,O01379,5,good value,2026-02-21
R00123,O03687,4,price is acceptable,2026-05-10
R00124,O02212,5,good value,2026-05-26
R00125,O00372,5,quality is stable,2026-04-05
R00126,O02583,3,delivery was slow,2026-03-04
R00127,O03168,5,will buy again,2026-04-16
R00128,O00071,5,quality is stable,2026-01-03
R00129,O00890,4,service is nice,2026-05-01
R00130,O02400,3,average experience,2026-03-20
R00131,O01438,2,not worth the price,2026-02-22
R00132,O00034,4,price is acceptable,2026-04-22
R00133,O00009,4,service is nice,2026-01-18
R00134,O00506,4,service is nice,2026-03-16
R00135,O02772,4,overall good,2026-01-27
R00136,O00150,4,service is nice,2026-04-16
R00137,O02165,3,delivery was slow,2026-05-24
R00138,O03540,5,fast delivery,2026-03-13
R00139,O00491,5,quality is stable,2026-04-29
R00140,O02887,5,will buy again,2026-03-18
R00141,O00439,2,bad packaging,2026-04-13
R00142,O00539,5,quality is stable,2026-06-17
R00143,O00271,5,fast delivery,2026-05-21
R00144,O02003,3,packaging can improve,2026-06-23
R00145,O02535,3,packaging can improve,2026-02-23
R00146,O01045,5,will buy again,2026-05-08
R00147,O03387,3,delivery was slow,2026-03-24
R00148,O02998,5,fast delivery,2026-01-16
R00149,O00151,5,good value,2026-05-12
R00150,O00206,2,bad packaging,2026-05-22
R00151,O01511,4,price is acceptable,2026-06-22
R00152,O00458,3,packaging can improve,2026-04-26
R00153,O01591,5,quality is stable,2026-05-17
R00154,O04093,3,delivery was slow,2026-04-14
R00155,O02687,5,will buy again,2026-01-23
R00156,O04120,5,good value,2026-02-12
R00157,O01043,3,delivery was slow,2026-02-05
R00158,O02070,5,will buy again,2026-04-07
R00159,O01973,4,service is nice,2026-02-26
R00160,O02045,4,overall good,2026-04-14
R00161,O01186,2,bad packaging,2026-06-06
R00162,O02737,4,overall good,2026-02-18
R00163,O01114,5,will buy again,2026-04-02
R00164,O03433,3,packaging can improve,2026-03-04
R00165,O01458,5,good value,2026-03-11
R00166,O00916,2,bad packaging,2026-06-03
R00167,O03166,5,fast delivery,2026-06-19
R00168,O01780,4,overall good,2026-01-12
R00169,O00692,5,quality is stable,2026-03-02
R00170,O00495,4,service is nice,2026-02-12
R00171,O03886,2,quality issue,2026-05-09
R00172,O03601,5,quality is stable,2026-03-04
R00173,O00950,5,good value,2026-03-28
R00174,O00765,4,price is acceptable,2026-01-22
R00175,O00409,5,good value,2026-03-03
R00176,O02229,4,overall good,2026-02-04
R00177,O03022,5,will buy again,2026-04-18
R00178,O03741,4,price is acceptable,2026-01-08
R00179,O01222,4,service is nice,2026-05-22
R00180,O03805,4,overall good,2026-06-27
R00181,O00018,5,fast delivery,2026-06-22
R00182,O03758,5,good value,2026-04-18
R00183,O02113,5,quality is stable,2026-06-08
R00184,O01188,1,damaged item,2026-04-21
R00185,O02625,4,overall good,2026-04-19
R00186,O01378,4,overall good,2026-03-07
R00187,O01352,4,overall good,2026-02-21
R00188,O03727,4,service is nice,2026-06-07
R00189,O02099,5,quality is stable,2026-03-23
R00190,O00603,5,quality is stable,2026-01-20
R00191,O04190,5,good value,2026-06-21
R00192,O03135,3,packaging can improve,2026-02-17
R00193,O01413,5,fast delivery,2026-04-06
R00194,O03785,4,service is nice,2026-05-08
R00195,O00070,3,delivery was slow,2026-01-29
R00196,O03777,4,overall good,2026-04-17
R00197,O01000,5,quality is stable,2026-04-09
R00198,O02790,4,price is acceptable,2026-03-01
R00199,O01322,4,price is acceptable,2026-02-18
R00200,O00683,5,good value,2026-03-27
R00201,O03850,5,will buy again,2026-02-24
R00202,O03058,2,quality issue,2026-03-05
R00203,O02203,5,will buy again,2026-04-19
R00204,O03464,5,quality is stable,2026-04-18
R00205,O02857,4,overall good,2026-03-09
R00206,O00908,4,price is acceptable,2026-05-25
R00207,O03099,4,price is acceptable,2026-04-23
R00208,O01053,2,bad packaging,2026-04-03
R00209,O03555,4,service is nice,2026-06-02
R00210,O03761,2,bad packaging,2026-02-22
R00211,O02650,4,price is acceptable,2026-06-05
R00212,O03289,4,overall good,2026-06-27
R00213,O01256,5,fast delivery,2026-01-28
R00214,O02006,3,packaging can improve,2026-04-14
R00215,O02128,5,good value,2026-01-09
R00216,O04140,2,quality issue,2026-03-17
R00217,O03376,5,quality is stable,2026-05-11
R00218,O00747,5,good value,2026-04-09
R00219,O00197,2,not worth the price,2026-03-25
R00220,O02624,5,quality is stable,2026-04-19
R00221,O00721,5,will buy again,2026-05-14
R00222,O02357,4,price is acceptable,2026-03-09
R00223,O02940,5,good value,2026-06-08
R00224,O02766,3,delivery was slow,2026-06-18
R00225,O00015,5,fast delivery,2026-02-05
R00226,O00677,5,quality is stable,2026-05-29
R00227,O04200,5,will buy again,2026-04-25
R00228,O02092,5,fast delivery,2026-05-28
R00229,O01477,5,good value,2026-05-11
R00230,O02987,4,price is acceptable,2026-06-02
R00231,O00977,4,overall good,2026-06-09
R00232,O02760,5,will buy again,2026-04-22
R00233,O00808,4,service is nice,2026-05-29
R00234,O01840,4,overall good,2026-05-07
R00235,O04012,3,delivery was slow,2026-06-09
R00236,O03742,4,price is acceptable,2026-06-12
R00237,O02365,5,fast delivery,2026-06-10
R00238,O01733,2,quality issue,2026-03-26
R00239,O01804,5,good value,2026-03-04
R00240,O01394,4,price is acceptable,2026-02-25
R00241,O03716,5,good value,2026-01-23
R00242,O02642,3,packaging can improve,2026-02-20
R00243,O01430,4,overall good,2026-03-25
R00244,O04081,5,good value,2026-06-16
R00245,O02801,3,packaging can improve,2026-04-17
R00246,O03505,5,good value,2026-02-25
R00247,O00331,5,good value,2026-02-16
R00248,O00502,4,overall good,2026-05-06
R00249,O00309,4,overall good,2026-02-18
R00250,O00651,3,delivery was slow,2026-01-25
R00251,O03638,3,average experience,2026-02-05
R00252,O01954,3,average experience,2026-04-11
R00253,O01339,5,fast delivery,2026-04-18
R00254,O00319,1,damaged item,2026-04-15
R00255,O03210,4,overall good,2026-02-07
R00256,O00239,5,will buy again,2026-06-09
R00257,O03698,5,fast delivery,2026-05-05
R00258,O02024,3,packaging can improve,2026-01-26
R00259,O03419,1,refund requested,2026-02-18
R00260,O01236,3,average experience,2026-02-25
R00261,O02023,5,good value,2026-05-02
R00262,O01513,4,price is acceptable,2026-01-04
R00263,O01076,4,overall good,2026-01-28
R00264,O02659,3,delivery was slow,2026-03-24
R00265,O02497,4,service is nice,2026-01-24
R00266,O03816,5,fast delivery,2026-06-04
R00267,O01072,4,overall good,2026-02-17
R00268,O03910,4,service is nice,2026-01-04
R00269,O00133,4,service is nice,2026-01-29
R00270,O02464,5,will buy again,2026-04-25
R00271,O02160,5,fast delivery,2026-06-08
R00272,O03385,4,price is acceptable,2026-01-18
R00273,O03330,4,price is acceptable,2026-04-23
R00274,O00904,4,service is nice,2026-02-22
R00275,O00830,5,will buy again,2026-01-29
R00276,O01109,4,service is nice,2026-01-14
R00277,O00719,4,price is acceptable,2026-04-28
R00278,O02546,5,good value,2026-06-27
R00279,O01221,2,quality issue,2026-04-16
R00280,O02789,5,good value,2026-03-04
R00281,O00756,4,service is nice,2026-03-31
R00282,O00970,3,packaging can improve,2026-03-05
R00283,O02335,1,refund requested,2026-05-24
R00284,O02286,5,quality is stable,2026-06-19
R00285,O01346,3,delivery was slow,2026-01-16
R00286,O03648,4,service is nice,2026-04-27
R00287,O01374,4,overall good,2026-01-24
R00288,O03071,4,overall good,2026-05-13
R00289,O00367,4,service is nice,2026-01-08
R00290,O01445,3,delivery was slow,2026-06-20
R00291,O03860,1,damaged item,2026-04-27
R00292,O02630,4,service is nice,2026-04-28
R00293,O00135,4,service is nice,2026-04-24
R00294,O01405,5,good value,2026-03-15
R00295,O02958,5,fast delivery,2026-01-11
R00296,O01753,5,fast delivery,2026-03-03
R00297,O02802,3,average experience,2026-04-19
R00298,O00585,4,price is acceptable,2026-04-28
R00299,O01789,5,quality is stable,2026-06-21
R00300,O01018,5,will buy again,2026-05-05
R00301,O03436,5,fast delivery,2026-03-23
R00302,O00033,3,average experience,2026-05-26
R00303,O02380,4,price is acceptable,2026-02-26
R00304,O03356,5,quality is stable,2026-06-22
R00305,O01776,5,fast delivery,2026-01-19
R00306,O03047,4,price is acceptable,2026-06-26
R00307,O02677,3,packaging can improve,2026-03-27
R00308,O03631,4,price is acceptable,2026-03-05
R00309,O02294,2,quality issue,2026-01-30
R00310,O02699,5,quality is stable,2026-06-02
R00311,O01867,3,delivery was slow,2026-04-13
R00312,O03833,4,service is nice,2026-05-29
R00313,O01367,5,fast delivery,2026-01-25
R00314,O01581,3,packaging can improve,2026-06-25
R00315,O01663,3,average experience,2026-02-22
R00316,O00889,5,quality is stable,2026-05-12
R00317,O01673,3,average experience,2026-03-03
R00318,O02341,4,service is nice,2026-01-12
R00319,O02231,5,good value,2026-05-19
R00320,O02105,5,quality is stable,2026-03-14
R00321,O02742,4,service is nice,2026-06-21
R00322,O00230,5,quality is stable,2026-01-15
R00323,O01469,3,delivery was slow,2026-01-29
R00324,O02997,3,packaging can improve,2026-04-04
R00325,O00171,5,will buy again,2026-03-25
R00326,O03454,1,damaged item,2026-01-20
R00327,O02488,4,price is acceptable,2026-05-15
R00328,O04102,5,will buy again,2026-05-03
R00329,O03094,4,price is acceptable,2026-04-30
R00330,O02030,5,will buy again,2026-05-21
R00331,O00512,3,packaging can improve,2026-06-27
R00332,O03367,2,quality issue,2026-04-25
R00333,O00577,3,average experience,2026-04-17
R00334,O02926,3,average experience,2026-01-08
R00335,O00786,1,refund requested,2026-04-16
R00336,O01097,5,quality is stable,2026-04-01
R00337,O03389,5,quality is stable,2026-04-27
